transect,d_from_path_m,depth of sample (cm),Soil dry weight (- 2.5g for plastic bag),Oribatids ,Mesostigmatids,Prostigmatid,Collembola,Other arachnids,other_arthropods,notes
1,0,4.8,210.49,0,2,0,2,0,0,
1,1,4.5,227.72,0,1,0,0,0,2,
1,2,5,244.69,0,1,0,0,0,4,2 worms
1,3,4,189.73,0,0,0,0,0,3,
1,4,5.3,178.59,0,1,0,0,2,4,"Two milipedes and a beetle, a larval stage of something"
2,0,5.5,214.68,0,6,0,3,0,0,
2,1,5.5,209.86,0,4,0,0,0,5,3 ants
2,2,3.9,196.3,0,0,0,3,0,0,
2,3,5.4,234.31,0,0,0,2,0,0,
2,4,4.8,222.81,0,1,0,0,0,0,
3,0,4.5,256.26,0,0,0,1,1,1,
3,1,5.4,196.52,0,1,0,2,0,4,
3,2,4.4,167.83,0,8,0,7,0,1,
3,3,5,196.04,0,0,0,0,0,1,1 bettle
3,4,4.2,179.95,0,3,0,0,0,1,
4,0,3.1,131.65,0,0,0,0,0,1,
4,1,4.6,149.26,0,3,0,0,0,2,
4,2,3,157.33,1,1,0,3,0,3,
4,3,4.7,176.27,0,0,0,1,0,1,1 milipede
4,4,6.9,314,0,1,0,1,0,1,1 milipede